Device,Plant,Truss,Total flowers,Budding,Transition B to O,Open,Closed,Setting,Broken Sets,Treated(Y/N),Difference
A,1,101,20,5,2,3,2,8,,y,0
A,1,102,18,8,1,3,1,5,,y,0
A,1,103,17,12,2,3,,,,y,0
A,1,201,19,4,1,2,1,10,1,y,0
A,1,202,17,4,2,3,,8,,y,0
A,1,203,15,8,2,3,1,1,,y,0
A,1,204,13,12,1,,,,,n,0
A,2,101,26,6,3,3,1,13,,y,0
A,2,102,23,10,2,2,1,8,,y,0
A,2,103,17,10,2,2,3,,,y,0
A,2,104,16,14,2,,,,,n,0
A,2,201,21,4,1,1,1,13,1,y,0
A,2,202,18,5,2,3,,8,,y,0
A,2,203,17,9,3,2,1,2,,y,0
A,2,204,13,12,1,,,,,n,0
A,3,101,19,5,,1,1,12,,y,0
A,3,102,16,3,1,2,1,9,,y,0
A,3,103,14,4,3,2,3,2,,y,0
A,3,104,13,6,3,4,,,,y,0
A,3,201,14,2,,,3,9,,y,0
A,3,202,13,2,1,2,,8,,y,0
A,3,203,13,5,2,2,2,2,,y,0
A,3,204,14,11,2,1,,,,y,0
A,4,101,21,2,2,2,1,14,,y,0
A,4,102,22,7,2,3,,10,,y,0
A,4,103,18,7,2,4,1,4,,y,0
A,4,104,15,10,2,3,,,,y,0
A,4,201,19,4,,3,,12,,y,0
A,4,202,20,6,2,2,2,8,,y,0
A,4,203,17,8,3,2,2,2,,y,0
A,4,204,13,11,2,,,,,n,0
A,5,101,20,1,1,2,1,13,2,y,0
A,5,102,20,4,2,4,1,9,,y,0
A,5,103,17,7,2,3,3,2,,y,0
A,5,104,14,9,3,2,,,,y,0
A,5,201,36,4,4,4,2,21,1,y,0
A,5,202,19,5,3,4,1,6,,y,0
A,5,203,16,9,2,4,1,,,y,0
A,5,204,12,12,,,,,,n,0
A,6,101,17,4,1,1,,11,,y,0
A,6,102,17,5,2,2,1,5,,y,2
A,6,103,13,7,2,4,,,,y,0
A,6,201,28,3,2,1,,20,2,y,0
A,6,202,16,4,2,3,1,6,,y,0
A,6,203,12,6,1,4,,1,,y,0
A,6,204,,9,,,,,,n,-9
A,7,101,36,9,5,5,2,15,,y,0
A,7,102,19,7,3,2,2,5,,y,0
A,7,103,16,10,3,3,,,,y,0
A,7,201,30,5,2,2,1,20,,y,0
A,7,202,13,4,1,2,,6,,y,0
A,7,203,9,4,2,3,,,,y,0
A,8,101,20,2,,2,1,12,3,y,0
A,8,102,18,2,2,3,1,10,,y,0
A,8,103,18,7,2,3,4,2,,y,0
A,8,104,16,11,2,3,,,,y,0
A,8,201,20,3,1,3,,12,1,y,0
A,8,202,20,6,3,2,2,7,,y,0
A,8,203,38,22,6,9,1,,,y,0
A,8,204,14,12,2,,,,,y,0
A,9,101,7,1,,,2,4,,y,0
A,9,102,6,1,1,3,1,,,y,0
A,9,201,7,,,1,1,5,,y,0
A,9,202,6,,,4,1,1,,y,0
A,9,203,6,4,2,,,,,y,0
A,10,101,7,1,,,3,3,,y,0
A,10,102,6,1,,2,1,2,,y,0
A,10,103,7,5,1,1,,,,y,0
A,10,201,7,,,,1,6,,y,0
A,10,202,7,1,2,2,2,,,y,0
A,11,101,8,3,,,,5,,y,0
A,11,102,8,7,,1,,,,y,0
A,11,201,7,,,2,1,4,,y,0
A,11,202,7,3,2,2,,,,y,0
A,12,101,8,2,,,2,4,,y,0
A,12,102,7,1,2,3,1,,,y,0
A,12,201,7,,,,1,6,,y,0
A,12,202,7,1,,2,2,2,,y,0
A,12,203,7,5,2,,,,,y,0
A,13,101,7,2,,,4,1,,y,0
A,13,102,6,3,1,2,,,,y,0
A,13,201,8,,1,1,2,4,,y,0
A,13,202,8,2,1,4,1,,,y,0
A,14,101,7,,,,1,5,1,y,0
A,14,201,8,,,,4,4,,y,0
A,14,202,7,1,1,3,2,,,y,0
A,14,203,6,6,,,,,,n,0
B,1,101,18,3,,2,1,11,1,y,0
B,1,102,17,3,1,3,2,8,,y,0
